cast,director,opening_date,opening_year,title
"Naseeruddin Shah,Vinay Pathak,Vikrant Massey,Konkona Sen Sharma,Vineet Kumar,Manoj Pahwa,Parambrata Chattopadhyay,Supriya Pathak,Deepika Amin,Ninad Kamat",Seema Pahwa,2021-01-01,2021,Ramprasad Ki Tehrvi
"Pankaj Tripathi,Monal Gajjar,Amar Upadhyay,Tina Ahuja,Lankesh Bhardwaj",Satish Kaushik,2021-01-07,2021,Kaagaz
"Mithun Chakraborty,Makarand Deshpande,Flora Saini,Manav Kaul,Krishna Gautam",Ram Gopal Varma,2021-01-08,2021,12 'O' Clock
"Vidyut Jammwal,Shruti Haasan,Mahesh Manjrekar,Zakir Hussain,Sachin Khedekar,Jisshu Sengupta,Prateik Babbar,Yuvika Chaudhary",Mahesh Manjrekar,2021-01-14,2021,The Power
"Ankit Rathi,Jahavi Dhanrajgir,Preeti Nigam,Adnan Sajid Khan",Tarun Dhanrajgir,2021-01-15,2021,Bolo Hau
"Kajol,Tanvi Azmi,Mithila Palkar,Kunaal Roy Kapur,Vaibhav Tatwawaadi,Manav Gohil,Kanwaljit Singh",Renuka Shahane,2021-01-15,2021,Tribhanga
"Raghubir Yadav,Shweta Basu Prasad,Sunny Hinduja,Saurabh Goyal,Krishna Singh Bisht,Bijou Thaangjam,Susheel Parashar",Gaurav Mehra,2021-01-21,2021,Jamun
"Richa Chadda,Manav Kaul,Akshay Oberoi,Saurabh Shukla",Subhash Kapoor,2021-01-22,2021,Madam Chief Minister
"Pawan Waval,Richa Kalra,Prateek Goyal,Shubham Srivastav,Mahmood Hashmi,Prem Sagar Singh,Mishti Singh",Nitesh Tiwari,2021-01-22,2021,Machaan
"Shiva Suryavanshi,Sheetal Singh,Kritika Singh,Chandrabhushan Singh",Aditya Om,2021-01-29,2021,Maassab
"Amyth Sethi,Sana Amin Sheikh,Govind Namdeo",Suvendu Raj Ghosh,2021-01-29,2021,Main Mulayam Singh Yadav
"Anup Jalota,Jackie Shroff",Vicky Ranawat,2021-01-29,2021,Satya Sai Baba
"Richa Chadha,Karishma Tanna,Arunoday Singh",Kunal Kohli,2021-02-04,2021,Lahore Confidential
"Vikram Mastal,Madhumita Bishwas,Gehana Vasisth",Ajay Ram,2021-02-12,2021,Sakshi
"Aahana Kumra,Rumana Molla,Vikram Koccher,Niki Walia,Sohaila Kapoor",Kartik Ramalingam,2021-02-14,2021,Bawri Chhori
"Anmol Dhillon,Jhataleka Malhotra,Zoa Morani,Reem Sheikh,Ibraheem Choudhry,Niki Walia,Parmeet Sethi",Taranveer Singh,2021-02-19,2021,Tuesdays and Fridays
"Vinamarjot Singh Wraich,Money Sabharwal,Mridula Mahajan",Parvinder Singh Wraich,2021-02-19,2021,Tank Cleaner
"Parineeti Chopra,Aditi Rao Hydari,Kirti Kulhari,Avinash Tiwary",Ribhu Dasgupta,2021-02-26,2021,The Girl on the Train
"Cyli Khare,Amit Deondi,Anurag Kashyap,Makrand Deshpande",Gitanjali Rao,2021-03-08,2021,Bombay Rose
"Rajkummar Rao,Janhvi Kapoor,Varun Sharma",Hardik Mehta,2021-03-11,2021,Roohi
"Sharman Joshi,Vikram Singh,Bidita Bag,Mugdha Godse,Zarina Wahab,Shishir Sharma",Aaryaan Saxena,2021-03-11,2021,Mera Fauji Calling
"Sooraj Pancholi,Isabelle Kaif,Waluscha De Sousa",Stanley D'Costa,2021-03-12,2021,Time to Dance
"Arif Zakaria,Abuli Mamaji,Niharika Singh,Plabita Borthakur,Rajit Kapur",Nikhil Pherwani,2021-03-19,2021,Ahaan
"John Abraham,Emraan Hashmi,Suniel Shetty,Kajal Aggarwal,Prateik Babbar,Rohit Roy,Anjana Sukhani,Samir Soni,Amole Gupte,Gulshan Grover,Mahesh Manjrekar",Sanjay Gupta,2021-03-19,2021,Mumbai Saga
"Arjun Kapoor,Parineeti Chopra",Dibakar Banerjee,2021-03-19,2021,Sandeep Aur Pinky Faraar
"Gurmeet Choudhary,Sayani Datta",Sarmad Khan,2021-03-19,2021,The Wife
"Vikrant Massey,Naren Kumar,Madhu Sneha,Tanvi Vyas,Veer Aryan,Niten Mirani",Mustufa Raj,2021-03-21,2021,Switchh
"Ashwat Kanth Sharma.,Abhilash Chaudhary,Pranay Dixit,Rudra Kanth,Naina Ganguly,Irra Mor",Ram Gopal Varma,2021-03-26,2021,D Company
"Sanya Malhotra,Shruti Sharma,Sayani Gupta,Ashutosh Rana,Raghubir Yadav,Rajesh Tailang,Sheeba Chaddha,Meghna Malik",Umesh Bist,2021-03-26,2021,Pagglait
"Rajpal Yadav,Heena Panchal,Milind Gunaji,Mohan Joshi,Yashpal Sharma,Rakesh Bedi,Sudha Chandran,Mushtaq Khan,Bharti Soni",Arvind Tripathi,2021-03-26,2021,Raag
"Parineeti Chopra,Manav Kaul,Paresh Rawal",Amole Gupte,2021-03-26,2021,Saina
"Manoj Bajpayee,Prachi Desai,Arjun Mathur,Sahil Vaid,Vaquar,Barkha Singh,Shirish Sharma,Sohaila Kapoor,Amit Thakkar,Garima Yagnik",Aban Bharucha Deohans,2021-03-26,2021,Silence... Can You Hear It?
,,2021-03-01,2021,
"Mohit Chadda,Pavan Malhotra,Zakir Hussain,Vivek Vaswani,Shibani Bedi,Pritam Singh",Suraj Joshi,2021-04-02,2021,Flight
"Kunal Kapoor,Amyra Dastur",Amin Hajee,2021-04-02,2021,Koi Jaane Na
"Abhishek Bachchan,Ileana D'Cruz,Sohum Shah,Nikita Dutta",Kookie Gulati,2021-04-08,2021,The Big Bull
"Aadar Jain,Jackie Shroff,Elnaaz Norouzi,Shlokka Pandit",Pankaj Saraswat,2021-04-09,2021,Hello Charlie
"Ehan Bhat,Edilsy Vargas,Tenzin Dalha,Aditya Seal,Lisa Ray,Manisha Koirala",Vishwesh Krishnamoorthy,2021-04-16,2021,99 Songs[b]
"Dev Sharma,Smriti Kashyap,Mukul Nag,Rakesh Shrivastav,Sanjeeb Dasgupta",Rajesh Harivansh Mishra,2021-04-16,2021,Aa Bhi Ja O Piya
"Fatima Sana Shaikh,Jaideep Ahlawat,Nushrratt Bharuccha,Abhishek Banerjee,Inayat Verma,Konkona Sen Sharma,Aditi Rao Hydari,Shefali Shah,Manav Kaul,Tota Roy Chowdhury","Shashank Khaitan,Raj Mehta,Neeraj Ghaywan,Kayoze Irani",2021-04-16,2021,Ajeeb Daastaans
"Anurag Kashyap,Rituparna Sengupta,Upendra Limaye",Hari Viswanath,2021-04-16,2021,Bansuri: The Flute
"Paoli Dam,Anup Soni,Rahul Dev,Dipannita Sharma",Avinash Das,2021-04-16,2021,Raat Baaki Hai
"Sunny Sachdeva,Ankita Chouhan,Armaan Sandhu,Ankita Sahu,Arjun Fauzdar,Namish Anand,Amanda Bhogal,Yash Gulati",Narendra Singh,2021-05-01,2021,B.A. Pass 3
"Suvinder Vicky,Lakshvir Saran",Ivan Ayr,2021-05-07,2021,Meel Patthar
"Zareen Khan,Anshuman Jha,Gurfateh Pirzada,Jahnvi Rawat,Denzil Smith",Harish Vyas,2021-05-09,2021,Hum Bhi Akele Tum Bhi Akele
"Salman Khan,Disha Patani,Jackie Shroff,Randeep Hooda,Megha Akash",Prabhu Deva,2021-05-13,2021,Radhe
"Arjun Kapoor,Rakul Preet Singh,Neena Gupta,John Abraham,Aditi Rao Hydari,Soni Razdan,Kanwaljit Singh,Kumud Mishra",Kaashvie Nair,2021-05-18,2021,Sardar Ka Grandson
"Kirti Kulhari,Medha Shankar,Nivedita Bhattacharya",Raj Singh Chaudhary,2021-06-11,2021,Shaadisthan
"Rachel Sanchita Gupta,Shraddha Gaikwad,Amrit Maghera,Waheeda Rehman",Manjari Makijany,2021-06-11,2021,Skater Girl
"Vidya Balan,Sharat Saxena,Mukul Chaddha,Vijay Raaz,Ila Arun,Brijendra Kala,Neeraj Kabi",Amit V. Masurkar,2021-06-18,2021,Sherni
"Taapsee Pannu,Vikrant Massey,Harshvardhan Rane",Vinil Mathew,2021-07-02,2021,Haseen Dillruba
"Vijay Raaz,Sanjay Mishra,Amol Parashar,Barkha Singh,Ashwini Kalsekar",Ram Ramesh Sharm,2022-01-21,2022,36 Farmhouse
"Jimmy Sheirgill,Asha Negi,Rajshri Deshpande",Dnyanesh Zoting,2021-07-09,2021,Collar Bomb
"Akshaye Khanna,Abhimanyu Singh,Gautam Rode,Vivek Dahiya,Akshay Oberoi,Parvin Dabas,Samir Soni,Mir Sarwar,Manjari Fadnis",Ken Ghosh,2021-07-09,2021,State of Siege: Temple Attack
"Farhan Akhtar,Paresh Rawal,Mrunal Thakur",Rakeysh Omprakash Mehra,2021-07-16,2021,Toofaan
"Vikrant Massey,Kriti Kharbanda",Devanshu Singh,2021-07-23,2021,14 Phere
"Paresh Rawal,Shilpa Shetty,Meezaan Jafri,Pranitha Subhash,Rajpal Yadav,Tiku Talsania,Ashutosh Rana,Manoj Joshi,Johny Lever",Priyadarshan,2021-07-23,2021,Hungama 2
"Kriti Sanon,Pankaj Tripathi,Sai Tamhankar,Manoj Pahwa,Supriya Pathak",Laxman Utekar,2021-07-26,2021,Mimi
"Manoj Bajpayee,Neena Gupta,Sakshi Tanwar",Rensil D'Silva,2021-08-06,2021,Dial 100
"Ruslaan Mumtaz,Kulraj Randhawa",Vikram Singh,2021-08-06,2021,Oye Mamu
"Sidharth Malhotra,Kiara Advani,Shiv Panditt,Raj Arjun,Pranay Pachauri,Himmanshoo A. Malhotra,Nikitin Dheer,Ankita Goraya,Anil Charanjeett,Sahil Vaid,Shataf Figar,Pawan Chopra",Vishnuvardhan,2021-08-12,2021,Shershaah
"Ajay Devgn,Sanjay Dutt,Sharad Kelkar,Sonakshi Sinha,Ammy Virk,Pranitha Subhash,Nora Fatehi,Ihana Dhillon",Abhishek Dudhaiya,2021-08-13,2021,Bhuj: The Pride of India
"Akshay Kumar,Vaani Kapoor,Huma Qureshi,Lara Dutta",Ranjit M Tewari,2021-08-19,2021,Bell Bottom
"Amol Palekar,Barun Sobti,Rinku Rajguru,Sahil Khattar,Saloni Batra,Indraneil Sengupta,Upendra Limaye",Sarthak Dasgupta,2021-08-20,2021,200 – Halla Ho
"Amitabh Bachchan,Emraan Hashmi,Krystle D'Souza,Rhea Chakraborty,Siddhanth Kapoor,Annu Kapoor,Dhritiman Chatterjee,Raghubir Yadav",Rumi Jafry,2021-08-27,2021,Chehre
"Aparshakti Khurana,Pranutan Bahl,Abhishek Banerjee,Ashish Verma,Dino Morea,Sharib Hashmi",Satramm Ramani,2021-09-03,2021,Helmet
"Faisal Khan,Roaleey Ryan,Rajkumar Kanojia,Ribbhu Mehra,Sharad Singh,Asha Singh",Faisal Khan,2021-09-03,2021,Faactory
"Saif Ali Khan,Arjun Kapoor,Jacqueline Fernandez,Yami Gautam,Javed Jaffrey",Pavan Kirpalani,2021-09-10,2021,Bhoot Police
"Jassie Gill,Surbhi Jyoti,Surekha Sikri,Vijay Raaz,Brijendra Kala,Atul Shrivastava",Ssaurabh Tyagi,2021-09-10,2021,Kya Meri Sonam Gupta Bewafa Hai?
"Kangana Ranaut,Arvind Swami",A. L. Vijay,2021-09-10,2021,Thalaivii[c]
"Jitu Shivhare,Ravi Kishan",Aayush Saxena,2021-09-10,2021,Urf Ghanta
"Abhishek Banerjee,Rinku Rajguru,Delzad Hiwale,Kunal Kapoor,Zoya Hussain,Nikhil Dwivedi,Palomi Ghosh","Ashwiny Iyer Tiwari,Abhishek Chaubey,Saket Chaudhary",2021-09-17,2021,Ankahi Kahaniya
"Rana Daggubati,Pulkit Samrat,Shriya Pilgaonkar",Prabhu Solomon,2021-09-18,2021,Haathi Mere Saathi[d]
"Sunny Kaushal,Radhika Madan,Mohit Raina,Diana Penty",Kunal Deshmukh,2021-10-01,2021,Shiddat
"Aarya Babbar,Ajaz Khan,Smita Gondkar,Kanwalpreet Singh,Salamn Bhatt",Avanish Kumar,2022-01-26,2022,Hai Tujhe Salaam India
"Taapsee Pannu,Tahir Raj Bhasin",Aakash Bhatia,2022-02-04,2022,Looop Lapeta
"Deepika Padukone,Siddhant Chaturvedi,Ananya Panday,Dhairya Karwa",Shakun Batra,2022-02-11,2022,Gehraiyaan
"Rajkummar Rao,Bhumi Pednekar",Harshavardhan Kulkarni,2022-02-11,2022,Badhaai Do
"Yami Gautam,Neha Dhupia,Atul Kulkarni,Dimple Kapadia",Behzad Khambata,2022-02-17,2022,A Thursday
"Alia Bhatt,Ajay Devgn,Shantanu Maheshwari,Vijay Raaz,Seema Pahwa,Varun Kapoor",Sanjay Leela Bhansali,2022-02-25,2022,Gangubai Kathiawadi
"Sanya Malhotra,Vikrant Massey,Bobby Deol",Shanker Raman,2022-02-25,2022,Love Hostel
"Amitabh Bachchan,Akash Thosar,Rinku Rajguru",Nagraj Manjule,2022-03-04,2022,Jhund
"Sanjay Dutt,Rajiv Kapoor,Varun Buddhadev",Mridul,2022-03-04,2022,Toolsidas Junior
"Prabhas,Pooja Hegde",Radha Krishna Kumar,2022-03-11,2022,Radhe Shyam[a]
"Mithun Chakraborty,Anupam Kher,Darshan Kumar,Pallavi Joshi,Chinmay Mandlekar",Vivek Agnihotri,2022-03-11,2022,The Kashmir Files
"Akshay Kumar,Kriti Sanon,Jacqueline Fernandez,Arshad Warsi",Farhad Samji,2022-03-18,2022,Bachchhan Paandey
"Vidya Balan,Shefali Shah",Suresh Triveni,2022-03-18,2022,Jalsa
"Rishi Kapoor,Paresh Rawal,Juhi Chawla",Hitesh Bhatia,2022-03-31,2022,Sharmaji Namkeen
,,2022-03-01,2022,
"John Abraham,Jacqueline Fernandez,Rakul Preet Singh",Lakshya Raj Anand,2022-04-01,2022,Attack: Part 1
"Sobhita Dhulipala,Mrunal Thakur,Avinash Tiwary,Janhvi Kapoor,Surekha Sikri,Raghuvir Yadav,Gulshan Devaiah,Vijay Varma,Pavail Gulati,Jyoti Subhash,Eva Ameet Pardeshi,Kitu Gidwani,Sumit Tandon","Karan Johar,Dibakar Banerjee,Zoya Akhtar,Anurag Kashyap",2020-01-01,2020,Ghost Stories
"Zareen Khan, Karan Kundra, Tobby Hinston, Sonia Armstrong",Vikram Bhatt,2018-01-12,2018,1921
"Arjun Kapoor,Tabu,Konkona Sen Sharma,Radhika Madan,Kumud Mishra,Shardul Bhardwaj",Aasmaan Bhardwaj,2023-01-13,2023,Kuttey
"Avinash Dhyani,Sanskriti Bhatt,Shagufta Ali",Avinash Dhyani,2021-10-01,2021,Sumeru
"Taapsee Pannu,Priyanshu Painyuli,Abhishek Banerjee,Shweta Tripathi,Supriya Pathak",Akarsh Khurana,2021-10-15,2021,Rashmi Rocket
"Vidyut Jammwal,Rukmini Maitra,Neha Dhupia,Chandan Roy Sanyal,Chandan Roy,Amole Gupte",Kanishk Varma,2021-10-15,2021,Sanak
"Vicky Kaushal,Banita Sandhu",Shoojit Sircar,2021-10-16,2021,Sardar Udham
"Pratik Gandhi,Aindrita Ray",Hardik Gajjar,2021-10-22,2021,Bhavai
"Sharman Joshi,Pooja Chopra,Tejashri Pradhan",Agnidev Chatterjee,2021-10-22,2021,Babloo Bachelor
"Neha Sharma,Deepak Dobriyal,Namit Das,Ila Arun,Amit Sial",Indrajit Nattoji,2021-10-29,2021,Aafat-E-Ishq
"Adhyayan Suman,Angel,Gulki Joshi",Amit Kasaria,2021-10-29,2021,Bekhudi
"Emraan Hashmi,Nikita Dutta,Manav Kaul",Jay K,2021-10-29,2021,Dybbuk
"Rajkummar Rao,Kriti Sanon,Paresh Rawal,Ratna Pathak Shah",Abhishek Jain,2021-10-29,2021,Hum Do Hamare Do
"Abhimanyu Dassani,Sanya Malhotra",Vivek Soni,2021-11-05,2021,Meenakshi Sundareshwar
"Akshay Kumar,Katrina Kaif,Ajay Devgn,Ranveer Singh,Jaaved Jaaferi,Jackie Shroff,Gulshan Grover",Rohit Shetty,2021-11-05,2021,Sooryavanshi
"Rinzing Denzongpa,Malvika Raaj,Pooja Batra,Mohan Kapoor,Amit Gaur",Nilesh Sahay,2021-11-12,2021,Squad
"Saif Ali Khan,Rani Mukerji,Siddhant Chaturvedi,Sharvari Wagh",Varun V. Sharma,2021-11-19,2021,Bunty Aur Babli 2
"Kartik Aaryan ,Mrunal Thakur,Amruta Subhash,Vikas Kumar,Vishwajeet Pradhan",Ram Madhvani,2021-11-19,2021,Dhamaka
"Amol Parashar,Smiriti Kalra,Swanand Kirkire,Gulshan Grover,Kavin Dave",Rishab Seth,2021-11-19,2021,Cash
"Veeraj Rao,Manukriti Pahwa,Seema Pahwa,Manikk Chaudhary,Brijendra Kala,Atul Srivastava,Sapna Sand",Anuup Thapa,2021-11-19,2021,Ye Mard Bechara
"John Abraham,Divya Khosla Kumar",Milap Zaveri,2021-11-25,2021,Satyameva Jayate 2
"Salman Khan,Aayush Sharma,Mahima Makwana",Mahesh Manjrekar,2021-11-26,2021,Antim: The Final Truth
Nushrratt Bharuccha,Vishal Furia,2021-11-26,2021,Chhorii
"Ahan Shetty,Tara Sutaria",Milan Luthria,2021-12-03,2021,Tadap
"Abhishek Bachchan,Chitrangada Singh",Diya Annapurna Ghosh,2021-12-03,2021,Bob Biswas
"Ayushmann Khurrana,Vaani Kapoor",Abhishek Kapoor,2021-12-10,2021,Chandigarh Kare Aashiqui
"Karan Deol,Abhay Deol,Mouni Roy,Anya Singh",Deven Munjal,2021-12-10,2021,Velle
Tanishaa Mukerji,Eshwar Gunturu,2021-12-10,2021,Code Name Abdul
"Vinay Pathak,Ranvir Shorey,Gul Panag,Rohan Mehra",Manish Gupta,2021-12-17,2021,420 IPC
"Ranveer Singh,Deepika Padukone,Tahir Raj Bhasin,Jiiva,Saqib Saleem,Ammy Virk,Harrdy Sandhu",Kabir Khan,2021-12-24,2021,83
"Dhanush,Sara Ali Khan,Akshay Kumar",Aanand L. Rai,2021-12-24,2021,Atrangi Re
"Irrfan Khan,Ranvir Shorey,Deepal Shaw,Lucky Ali",Navneet Baj Saini,2021-12-31,2021,Murder at Teesri Manzil 302
"Naveen Kasturia,Plabita Borthakur,Vijay Raaz,Sanjay Mishra,Dharmesh Vyas,Manoj Joshi",Dinesh S Yadav,2021-12-31,2021,Waah Zindagi
Shreyas Talpade,Jayprad Desai,2022-04-01,2022,Kaun Pravin Tambe?
"Prateik Babbar,Neelay Mehendale,Anjali Sivaraman,Neil Bhoopalam,Anant V Joshi,Poornima Indrajith",Sachin Kundalkar,2022-04-02,2022,Cobalt Blue
"Abhishek Bachchan,Yami Gautam,Nimrat Kaur",Tushar Jalota,2022-04-07,2022,Dasvi
"Sunny Kaushal,Nushrratt Bharuccha,Vijay Varma",Nikhil Nagesh Bhat,2022-04-08,2022,Hurdang
"Shahid Kapoor,Mrunal Thakur,Pankaj Kapur",Gowtam Tinnanuri,2022-04-22,2022,Jersey
"Sidhant Gupta,Vedika Pinto,Sharad Kelkar,Bhumika Chawla,Kishor Kadam",Shashant Shah,2022-04-22,2022,Operation Romeo
"Amitabh Bachchan,Ajay Devgn,Rakul Preet Singh,Boman Irani",Ajay Devgn,2022-04-29,2022,Runway 34
"Tiger Shroff,Nawazuddin Siddiqui,Tara Sutaria",Ahmed Khan,2022-04-29,2022,Heropanti 2
"Divyenndu,Anupriya Goenka,Anant Vidhaat,Inaamulhaq,Brijendra Kala",Faraz Haider,2022-05-06,2022,Mere Desh Ki Dharti
"Anil Kapoor,Harshvardhan Kapoor,Fatima Sana Shaikh",Raj Singh Chaudhary,2022-05-06,2022,Thar
"Ranveer Singh,Shalini Pandey,Boman Irani,Ratna Pathak Shah",Divyang Thakkar,2022-05-13,2022,Jayeshbhai Jordaar
"Kartik Aaryan,Tabu,Kiara Advani",Anees Bazmee,2022-05-20,2022,Bhool Bhulaiyaa 2
"Kangana Ranaut,Arjun Rampal,Divya Dutta",Razy Ghai,2022-05-20,2022,Dhaakad
Ayushmann Khurrana,Anubhav Sinha,2022-05-27,2022,Anek
"Ganesh Acharya,Ravi Kishan,Manoj Joshi,Rajesh Sharma,Remo D'Souza",Manoj Sharma,2022-05-27,2022,Dehati Disco
"Riyaz Anwar,Ruchira Jadhav,Rohit Kokate,Neelam Kulkarni",Sudarshan Gamare,2022-05-27,2022,Haemolymph
"Akshay Kumar,Sanjay Dutt,Sonu Sood,Manushi Chhillar",Chandraprakash Dwivedi,2022-06-03,2022,Samrat Prithviraj
"Adivi Sesh,Sobhita Dhulipala,Saiee Manjrekar,Prakash Raj,Revathi",Sashi Kiran Tikka,2022-06-03,2022,Major[a]
Nushrratt Bharuccha,Jai Basantu Singh,2022-06-10,2022,Janhit Mein Jaari
"Rajpal Yadav,Rubina Dilaik",Palash Muchhal,2022-06-10,2022,Ardh
"Abhimanyu Dassani,Shirley Setia,Shilpa Shetty",Sabbir Khan,2022-06-17,2022,Nikamma
"Pankaj Tripathi,Neeraj Kabi,Sayani Gupta",Srijit Mukherji,2022-06-24,2022,Sherdil
"Anil Kapoor,Neetu Kapoor,Varun Dhawan,Kiara Advani,Prajakta Koli,Manish Paul",Raj Mehta,2022-06-24,2022,Jugjugg Jeeyo
"Vikrant Massey,Radhika Apte,Prachi Desai,Rohit Roy",Vishal Furia,2022-06-24,2022,Forensic
"Sunny Kaushal,Rukshar Dhillon,Shriya Pilgaonkar",Sneha Taurani,2020-01-03,2020,Bhangra Paa Le
"Akshaye Khanna,Riva Kishan,Priyank Sharma",Karan Vishwanath Kashyap,2020-01-03,2020,Sab Kushal Mangal
"Hema Malini,Rajkummar Rao,Rakul Preet Singh",Ramesh Sippy,2020-01-03,2020,Shimla Mirchi
"Neelofar Hamid,Shahnawaz Bhat,Mir Sarwar,Haseena Sofi",Danish Renzu,2020-01-06,2020,Half Widow
"Deepika Padukone,Vikrant Massey",Meghna Gulzar,2020-01-10,2020,Chhapaak
"Ajay Devgn,Saif Ali Khan,Kajol,Sharad Kelkar",Om Raut,2020-01-10,2020,Tanhaji
"Abhijeet Singh,Arindita Kalita",Jugal Raja,2020-01-17,2020,Bunker
"Sunny Singh,Sonnalli Seygall,Poonam Dhillon,Supriya Pathak",Navjot Gulati,2020-01-17,2020,Jai Mummy Di
"Kangana Ranaut,Jassi Gill,Richa Chadha,Neena Gupta",Ashwiny Iyer Tiwari,2020-01-24,2020,Panga
"Varun Dhawan,Shraddha Kapoor,Prabhu Deva,Nora Fatehi,Aparshakti Khurana,Murali Sharma,Raghav Juyal,Dharmesh Yelande,Punit Pathak,Jigar Rupareliya,Sonam Bajwa",Remo D'Souza,2020-01-24,2020,Street Dancer 3D
"Reem Shaikh,Atul Kulkarni,Divya Dutta,Om Puri,Arif Zakaria,Mukesh Rishi,Abhimanyu Singh,Pankaj Tripathi",H.E. Amjad khan,2020-01-31,2020,Gul Makai
"Himesh Reshammiya,Sonia Mann",Raka,2020-01-31,2020,Happy Hardy and Heer
"Saif Ali Khan,Tabu,Alaya Furniturewala",Nitin Kakkar,2020-01-31,2020,Jawaani Jaaneman
